Date,Prior,Open,High,Low,Close,Change,%Change,Average,Bid,Offer,AOM Volume (k.Shares),AOM Value (M.Baht),TR Volume (k.Shares),TR Value (M.Baht),Total Volume (k.Shares),Total Value (M.Baht),NVDR Buy Value (M.Baht),NVDR Sell Value (M.Baht),NVDR Net Value (M.Baht),P/E,PEG,P/BV,BVPS (Baht),%Dividend Yield,%12M Dividend Yield,Market Cap. (M.Baht),%Volume Turnover,ROI,Beta,Par (Baht),Listed Shares,Trading Sign,Benefit Sign
13/5/2019,47.75,47.75,48,47.25,47.5,-0.25,-0.523560209,47.52783154,47.25,47.5,42830.9,2035.6598,-,-,42834.989,2035.854412,194.7536405,506.7596093,-312.0059688,11.34,-0.99,1.55,30.64,4.210000038,4.21,1356742.322,0.150000006,-,-,1,28562996250,-,-
10/5/2019,47.5,47.75,48,47.5,47.75,0.25,0.526315789,47.7409585,47.5,47.75,39293.8,1875.923675,250,11.9328,39546.539,1887.98751,363.17155,515.938975,-152.767425,11.4,-0.99,1.56,30.64,4.190000057,4.19,1363883.071,0.140000001,-,-,1,28562996250,-,-
9/5/2019,48,48,48.25,47.5,47.5,-0.5,-1.041666667,47.866839,47.5,47.75,65309.1,3126.140175,8844.2,420.0995,74156.561,3546.396344,947.1682328,1511.67322,-564.5049873,11.34,-0.99,1.55,30.64,4.210000038,4.21,1356742.322,0.25999999,-,-,1,28562996250,-,-
8/5/2019,48.75,48.5,48.5,48,48,-0.75,-1.538461538,48.22781584,48,48.25,60392.2,2912.5839,526.5,25.3919367,60920.616,2938.068735,352.3493512,814.0453117,-461.6959605,11.46,-1,1.57,30.64,4.170000076,4.17,1371023.82,0.209999993,-,-,1,28562996250,-,-
7/5/2019,49.25,49,49,48.25,48.75,-0.5,-1.015228426,48.66099027,48.5,48.75,71380.4,3473.44095,-,-,71382.469,3473.541918,300.381635,1015.329858,-714.948223,11.63,-1.01,1.59,30.64,4.099999905,4.1,1392446.067,0.25,-,-,1,28562996250,-,-
3/5/2019,49,49,49.5,48.75,49.25,0.25,0.510204082,49.21800154,49.25,49.5,34370.4,1691.6424,-,-,34372.184,1691.730216,286.232581,460.1974,-173.964819,11.75,-1.03,1.61,30.64,4.059999943,4.06,1406727.565,0.119999997,-,-,1,28562996250,-,-
2/5/2019,48.75,49,49.25,48.75,49,0.25,0.512820513,49.02467289,49,49.25,24142.9,1183.597775,2.9,0.1421,24147.537,1183.825222,187.1239,269.36263,-82.23873,11.69,-1.02,1.6,30.64,4.079999924,4.08,1399586.816,0.079999998,-,-,1,28562996250,-,-
30/4/2019,48.75,49,49.25,48.5,48.75,0,0,48.83254529,48.75,49,36313.7,1773.2904,-,-,36316.223,1773.413896,417.152156,683.59178,-266.439624,11.63,-1.01,1.59,30.64,4.099999905,4.1,1392446.067,0.129999995,-,-,1,28562996250,-,-
29/4/2019,49.25,49,49.25,48.75,48.75,-0.5,-1.015228426,48.88016061,48.75,49,31093.7,1519.86505,-,-,31096.042,1519.97983,152.5808673,323.737023,-171.1561558,11.63,-1.01,1.59,30.64,4.099999905,4.1,1392446.067,0.109999999,-,-,1,28562996250,-,-
26/4/2019,49.5,49.75,49.75,49,49.25,-0.25,-0.505050505,49.32189957,49,49.25,42478,2095.09565,123.8,6.09715,42603.941,2101.298374,408.226975,221.6172998,186.6096753,11.75,-1.03,1.61,30.64,4.059999943,4.06,1406727.565,0.150000006,-,-,1,28562996250,-,-
